"site","Date.Placement","Days","Last.record","Northing","Easting"
"403A","2014-03-18",35,"2014-04-23",1926154,291031
"410B","2014-04-23",35,"2014-05-29",1934085,282304
"405B","2014-04-23",35,"2014-05-29",1932033,283454
"405C","2014-05-28",48,"2014-07-16",1933798,283406
"409C","2014-05-28",48,"2014-07-17",1932206,287509
"404C","2014-05-28",47,"2014-07-17",1927908,304607
"406C","2014-05-28",45,"2014-07-14",1934195,283359
"403C","2014-05-28",60,"2014-07-28",1926510,290976
"412C","2014-05-28",48,"2014-07-17",1934210,282701
"413C2","2014-07-18",50,"2014-09-17",1927594,302854
"401C2","2014-07-18",60,"2014-09-17",1928079,306148
"407C2","2014-07-18",50,"2014-09-14",1932109,287745
"402C2","2014-07-18",60,"2014-09-17",1927657,303764
"408C2","2014-07-18",50,"2014-09-18",1933425,283344
"404D","2014-09-18",40,"2014-10-31",1927456,304744
"402D","2014-09-18",40,"2014-11-02",1927199,303878
"413D","2014-09-18",44,"2014-11-02",1927087,302850
"405D","2014-09-18",44,"2014-11-03",1934622,283565
"401D","2014-09-18",40,"2014-11-03",1928483,305786
"407D","2014-09-18",44,"2014-11-02",1934825,283444
"403D","2014-09-18",44,"2014-11-03",1926303,290967
"407E","2014-11-03",45,"2014-12-22",1935262,284554
"402E","2014-11-03",44,"2014-12-18",1927582,303760
"404E","2014-11-03",37,"2014-12-15",1927840,304653
"407F","2014-12-22",47,"2015-02-08",1935951,288175
"411F","2014-12-22",47,"2015-02-08",1928983,291694
"404F","2014-12-22",47,"2015-02-17",1927840,304653
"402F","2014-12-22",47,"2015-02-17",1927588,303762
"403F","2014-12-22",47,"2015-02-17",1929549,291689
"412D","2014-09-18",44,"2014-11-02",1933216,283343
"406A","2014-03-18",35,"2014-04-23",1933228,283348
"409A","2014-03-18",28,"2014-04-16",1934000,283362
"401A","2014-03-18",27,"2014-04-23",1927437,299505
"405A","2014-03-18",35,"2014-04-23",1932759,283423
"408B","2014-04-23",25,"2014-05-23",1935106,284005
"411B","2014-04-23",35,"2014-05-29",1931474,283544
"412B","2014-04-23",35,"2014-05-29",1931719,283420
"408C","2014-05-28",48,"2014-07-18",1933425,283344
"411C","2014-05-28",48,"2014-07-16",1933215,283393
"410C","2014-05-28",50,"2014-07-18",1934360,286612
"407C","2014-05-28",45,"2014-07-16",1932109,287745
"405C2","2014-07-18",50,"2014-09-07",1933798,283406
"406C2","2014-07-18",50,"2014-09-17",1934195,283359
"410C2","2014-07-18",48,"2014-09-19",1934360,286612
"410D","2014-09-18",44,"2014-11-03",1929086,291398
"409D","2014-09-18",44,"2014-11-02",1934953,283208
"403E","2014-11-03",45,"2014-12-21",1935282,287303
"409E","2014-11-03",12,"2014-12-15",1934963,283847
"405E","2014-11-03",32,"2014-12-18",1933999,283533
"405F","2014-12-22",47,"2015-02-15",1935699,285409
"413F","2014-12-22",47,"2015-02-17",1928611,305716
"404B","2014-04-23",30,"2014-05-24",1928442,305818
"409C2","2014-07-18",50,"2014-09-17",1932206,287509
"410A","2014-03-18",35,"2014-04-23",1934009,282533
"406B","2014-04-23",35,"2014-05-29",1934171,283558
"403B","2014-04-23",28,"2014-05-28",1926257,291227
"413C","2014-05-28",48,"2014-07-16",1927594,302854
"407A","2014-03-18",35,"2014-04-23",1934017,282835
"403C2","2014-07-18",48,"2014-09-18",1926510,290976
"413E","2014-11-03",35,"2014-12-14",1928611,305716
"409F","2014-12-22",23,"2015-02-17",1936481,290371
"404C2","2014-07-18",10,"2014-08-26",1927908,304607
"408D","2014-09-18",5,"2014-09-24",1929881,291805
"406D","2014-09-18",44,"2014-11-02",1930183,292120
"406E","2014-11-03",45,"2014-12-20",1935340,286926
"412E","2014-11-03",14,"2014-12-20",1933012,283384
"407B","2014-04-23",10,"2014-05-26",1934101,282356
"409B","2014-04-23",35,"2014-05-29",1934101,283090
"408E","2014-11-03",4,"2014-11-08",1931466,287879
"401C","2014-05-28",12,"2014-06-11",1928483,305786
